Layer,NodesPerLayer,BatchSize,Epoch,Optimizer,Accuracy
3,40,64,300,Adam,0.779291570186615
3,40,128,300,Adam,0.7615804076194763
3,40,256,300,Adam,0.7588555812835693
3,40,512,300,Adam,0.7493187785148621
3,50,16,300,Adam,0.7779291272163391
3,50,32,300,Adam,0.7779291272163391
3,50,64,300,Adam,0.7806539535522461
3,50,128,300,Adam,0.7861035466194153
3,50,256,300,Adam,0.7561308145523071
3,50,512,300,Adam,0.7547683715820312
3,60,16,300,Adam,0.7547683715820312
3,60,32,300,Adam,0.7806539535522461
3,60,64,300,Adam,0.7588555812835693
3,60,128,300,Adam,0.7915531396865845
3,60,256,300,Adam,0.7588555812835693
3,60,512,300,Adam,0.7602179646492004
3,70,16,300,Adam,0.7997274994850159
3,70,32,300,Adam,0.7724795937538147
3,70,64,300,Adam,0.7547683715820312
3,70,128,300,Adam,0.7602179646492004
3,70,256,300,Adam,0.7411444187164307
3,70,512,300,Adam,0.7452316284179688
3,80,16,300,Adam,0.7683923840522766
3,80,32,300,Adam,0.7806539535522461
3,80,64,300,Adam,0.7683923840522766
3,80,128,300,Adam,0.7738419771194458
3,80,256,300,Adam,0.7615804076194763
3,80,512,300,Adam,0.7288828492164612
3,90,16,300,Adam,0.7752043604850769
3,90,32,300,Adam,0.7711171507835388
3,90,64,300,Adam,0.7738419771194458
3,90,128,300,Adam,0.7833787202835083
3,90,256,300,Adam,0.7343324422836304
3,90,512,300,Adam,0.7615804076194763
3,100,16,300,Adam,0.7683923840522766
3,100,32,300,Adam,0.7683923840522766
3,100,64,300,Adam,0.7602179646492004
3,100,128,300,Adam,0.7493187785148621
3,100,256,300,Adam,0.7574931979179382
3,100,512,300,Adam,0.7724795937538147
1,30,16,400,Adam,0.7711171507835388
1,30,32,400,Adam,0.8133515119552612
1,30,64,400,Adam,0.8024523258209229
1,30,128,400,Adam,0.8269754648208618
1,30,256,400,Adam,0.7942779064178467
1,30,512,400,Adam,0.7806539535522461
1,40,16,400,Adam,0.8405994772911072
1,40,32,400,Adam,0.8119891285896301
1,40,64,400,Adam,0.832425057888031
1,40,128,400,Adam,0.8051770925521851
1,40,256,400,Adam,0.779291570186615
1,40,512,400,Adam,0.779291570186615
1,50,16,400,Adam,0.8188011050224304
1,50,32,400,Adam,0.7942779064178467
1,50,64,400,Adam,0.8256130814552307
1,50,128,400,Adam,0.7779291272163391
1,50,256,400,Adam,0.8065395355224609
1,50,512,400,Adam,0.8106266856193542
1,60,16,400,Adam,0.8106266856193542
1,60,32,400,Adam,0.8106266856193542
1,60,64,400,Adam,0.8405994772911072
1,60,128,400,Adam,0.8024523258209229
1,60,256,400,Adam,0.7861035466194153
1,60,512,400,Adam,0.7929155230522156
1,70,16,400,Adam,0.8174387216567993
1,70,32,400,Adam,0.803814709186554
1,70,64,400,Adam,0.8092643022537231
1,70,128,400,Adam,0.7997274994850159
1,70,256,400,Adam,0.7929155230522156
1,70,512,400,Adam,0.8147138953208923
1,80,16,400,Adam,0.8242506980895996
1,80,32,400,Adam,0.8269754648208618
1,80,64,400,Adam,0.8188011050224304
1,80,128,400,Adam,0.7820163369178772
1,80,256,400,Adam,0.8133515119552612
1,80,512,400,Adam,0.8010899424552917
1,90,16,400,Adam,0.8106266856193542
1,90,32,400,Adam,0.8133515119552612
1,90,64,400,Adam,0.8051770925521851
1,90,128,400,Adam,0.8065395355224609
1,90,256,400,Adam,0.8174387216567993
1,90,512,400,Adam,0.7752043604850769
1,100,16,400,Adam,0.7997274994850159
1,100,32,400,Adam,0.8051770925521851
1,100,64,400,Adam,0.8283378481864929
1,100,128,400,Adam,0.7888283133506775
1,100,256,400,Adam,0.8188011050224304
1,100,512,400,Adam,0.8024523258209229
2,30,16,400,Adam,0.7547683715820312
2,30,32,400,Adam,0.7833787202835083
2,30,64,400,Adam,0.7833787202835083
2,30,128,400,Adam,0.7970027327537537
2,30,256,400,Adam,0.7465940117835999
2,30,512,400,Adam,0.7683923840522766
2,40,16,400,Adam,0.7602179646492004
2,40,32,400,Adam,0.8024523258209229
2,40,64,400,Adam,0.7752043604850769
2,40,128,400,Adam,0.7956403493881226
2,40,256,400,Adam,0.7970027327537537
2,40,512,400,Adam,0.7670300006866455
2,50,16,400,Adam,0.8106266856193542
2,50,32,400,Adam,0.7861035466194153
2,50,64,400,Adam,0.8051770925521851
2,50,128,400,Adam,0.7806539535522461
2,50,256,400,Adam,0.7779291272163391
2,50,512,400,Adam,0.7615804076194763
2,60,16,400,Adam,0.7833787202835083
2,60,32,400,Adam,0.7820163369178772
2,60,64,400,Adam,0.7942779064178467
2,60,128,400,Adam,0.7547683715820312
2,60,256,400,Adam,0.7942779064178467
2,60,512,400,Adam,0.7861035466194153
2,70,16,400,Adam,0.7929155230522156
2,70,32,400,Adam,0.7602179646492004
2,70,64,400,Adam,0.7915531396865845
2,70,128,400,Adam,0.7643051743507385
2,70,256,400,Adam,0.7820163369178772
2,70,512,400,Adam,0.7643051743507385
2,80,16,400,Adam,0.7697547674179077
2,80,32,400,Adam,0.7874659299850464
2,80,64,400,Adam,0.8010899424552917
2,80,128,400,Adam,0.7833787202835083
